18
ABCDEFGHIJKLMNOPQR
-1	+1	-1	-1	-1	-1	-1	+1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	+1	-1	+1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	+1	-1	+1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	+1	+1	+1	-1	+1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	+1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	-1	-1	-1	-1	+1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1
+1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	-1	-1	-1	-1	+1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	+1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	-1	-1	-1	+1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	-1	+1	-1	+1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	+1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	+1	+1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	+1	-1	+1	-1	-1	-1	-1	-1

//220511
